tourney_date,tourney_name,surface,tourney_level,round,winner_name,winner_rank,loser_name,loser_rank,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_bpSaved,l_bpFaced,year
2015-01-04,Brisbane,Hard,A,R32,John Millman,153.0,Rhyne Williams,220.0,6-3 6-1,3,65.0,6.0,2.0,44.0,24.0,19.0,1.0,1.0,3.0,4.0,50.0,31.0,20.0,1.0,5.0,2015
2015-01-04,Brisbane,Hard,A,R32,Jarkko Nieminen,73.0,Denis Kudla,123.0,4-6 6-1 6-4,3,104.0,4.0,0.0,92.0,59.0,39.0,4.0,7.0,6.0,1.0,83.0,50.0,26.0,3.0,8.0,2015
2015-01-04,Brisbane,Hard,A,R32,James Duckworth,125.0,Gilles Simon,21.0,6-2 6-2,3,68.0,4.0,0.0,45.0,27.0,20.0,2.0,3.0,2.0,1.0,56.0,37.0,22.0,10.0,15.0,2015
2015-01-04,Brisbane,Hard,A,R32,Jeremy Chardy,31.0,Andrey Golubev,72.0,6-4 6-4,3,69.0,7.0,1.0,53.0,39.0,31.0,0.0,0.0,9.0,2.0,57.0,38.0,30.0,1.0,3.0,2015
2015-01-04,Brisbane,Hard,A,R32,Martin Klizan,34.0,Jurgen Melzer,110.0,6-7(5) 7-6(6) 6-1,3,144.0,9.0,4.0,130.0,79.0,55.0,6.0,8.0,4.0,4.0,95.0,62.0,40.0,4.0,8.0,2015
2015-01-04,Brisbane,Hard,A,R32,Alexandr Dolgopolov,23.0,Carlos Berlocq,71.0,6-2 6-3,3,78.0,6.0,1.0,49.0,31.0,24.0,3.0,4.0,3.0,2.0,78.0,53.0,32.0,11.0,15.0,2015
2015-01-04,Brisbane,Hard,A,R32,Lukasz Kubot,177.0,Kevin Anderson,16.0,7-6(3) 6-4,3,110.0,6.0,5.0,78.0,51.0,35.0,3.0,5.0,12.0,3.0,76.0,43.0,30.0,4.0,7.0,2015
2015-01-04,Brisbane,Hard,A,R32,Sam Groth,85.0,Lleyton Hewitt,84.0,6-3 6-2,3,59.0,14.0,0.0,47.0,34.0,30.0,2.0,2.0,1.0,2.0,45.0,22.0,13.0,1.0,4.0,2015
2015-01-04,Brisbane,Hard,A,R32,Mikhail Kukushkin,69.0,Marius Copil,201.0,6-4 4-6 6-4,3,113.0,3.0,1.0,84.0,56.0,42.0,1.0,3.0,17.0,2.0,89.0,56.0,46.0,3.0,6.0,2015
2015-01-04,Brisbane,Hard,A,R32,Thanasi Kokkinakis,149.0,Julien Benneteau,25.0,6-4 6-3,3,75.0,9.0,1.0,52.0,30.0,25.0,1.0,2.0,5.0,3.0,52.0,33.0,23.0,1.0,4.0,2015
