player,elo_hard,elo_clay,elo_grass,form,matches_total
Jannik Sinner,2055.0,1718.8,1660.3,0.95,353
Novak Djokovic,1891.3,1819.6,1715.1,0.9,610
Alexander Zverev,1863.9,1813.9,1627.7,0.8,652
Carlos Alcaraz,1855.1,1852.7,1731.5,0.8,265
Taylor Fritz,1814.5,1683.3,1640.9,0.7,476
Daniil Medvedev,1813.4,1667.3,1673.5,0.55,537
Grigor Dimitrov,1793.6,1660.6,1572.2,0.7,525
Ugo Humbert,1777.3,1436.7,1546.5,0.65,271
Jack Draper,1761.3,1514.7,1607.2,0.75,130
Holger Rune,1751.2,1688.5,1562.6,0.7,228
Karen Khachanov,1744.2,1671.8,1532.4,0.7,472
Alex De Minaur,1737.5,1637.9,1641.7,0.55,410
Sebastian Korda,1731.2,1553.6,1593.8,0.75,206
Roger Federer,1717.6,1597.9,1665.6,0.7,309
Tommy Paul,1699.9,1597.6,1658.3,0.6,300
Ben Shelton,1698.8,1531.2,1504.3,0.65,123
Nick Kyrgios,1698.5,1534.5,1584.3,0.75,305
Alexei Popyrin,1695.1,1529.3,1456.1,0.65,206
Tomas Machac,1690.5,1587.6,1477.6,0.6,90
Hubert Hurkacz,1688.7,1663.4,1612.2,0.65,350
Stefanos Tsitsipas,1683.1,1820.4,1549.3,0.55,512
Gael Monfils,1682.5,1472.7,1544.4,0.55,411
Jordan Thompson,1681.7,1419.2,1578.8,0.6,300
Frances Tiafoe,1666.8,1544.9,1566.3,0.65,399
Andrey Rublev,1656.0,1695.7,1586.7,0.45,519
Jenson Brooksby,1652.8,1481.0,1520.8,0.55,79
Flavio Cobolli,1648.9,1563.2,1497.8,0.6,79
Arthur Fils,1646.2,1599.0,1535.3,0.65,109
Tallon Griekspoor,1642.8,1531.5,1573.0,0.5,190
Denis Shapovalov,1637.7,1559.0,1539.0,0.7,381
David Goffin,1637.0,1513.3,1519.9,0.7,494
Alex Michelsen,1631.6,1478.0,1534.6,0.6,79
Jiri Lehecka,1630.6,1570.4,1524.0,0.55,144
Matteo Berrettini,1630.0,1750.3,1642.4,0.65,289
Emil Ruusuvuori,1629.7,1449.2,1506.2,0.45,214
Casper Ruud,1618.8,1790.2,1488.6,0.35,397
Jakub Mensik,1612.5,1544.9,1477.7,0.55,49
Matteo Arnaldi,1612.2,1579.8,1473.5,0.45,92
Tomas Berdych,1612.1,1546.7,1549.0,0.55,238
Cameron Norrie,1606.9,1618.0,1556.4,0.45,365
Pablo Carreno Busta,1606.9,1572.8,1470.1,0.45,445
Brandon Nakashima,1606.5,1519.6,1537.2,0.55,176
Joao Fonseca,1605.7,1505.1,1487.2,0.6,20
Hamad Medjedovic,1603.5,1497.3,1495.4,0.6,39
Thanasi Kokkinakis,1601.1,1502.3,1504.6,0.5,164
Felix Auger Aliassime,1598.2,1687.5,1526.8,0.55,364
Marcos Giron,1597.9,1465.3,1573.0,0.55,221
Francisco Cerundolo,1597.9,1686.6,1492.8,0.55,190
Roberto Bautista Agut,1597.0,1541.7,1608.7,0.6,561
Fabian Marozsan,1596.4,1510.4,1451.8,0.4,72
Juan Martin del Potro,1594.8,1535.1,1519.6,0.6,178
Kei Nishikori,1593.3,1528.9,1500.5,0.5,374
Alejandro Davidovich Fokina,1592.5,1558.5,1466.7,0.45,233
Milos Raonic,1591.8,1502.7,1552.4,0.5,318
Bu Yunchaokete,1591.5,1491.8,1500.0,0.556,18
Alexandr Dolgopolov,1585.4,1539.0,1517.3,0.5,146
Hyeon Chung,1583.5,1545.2,1493.3,0.45,149
Rafael Nadal,1582.8,1649.8,1550.0,0.6,471
Lorenzo Musetti,1582.6,1706.1,1645.3,0.55,245
Roman Safiullin,1581.3,1506.1,1523.0,0.5,107
Yoshihito Nishioka,1580.0,1522.9,1465.1,0.6,284
Arthur Rinderknech,1579.0,1503.2,1463.6,0.55,157
Giovanni Mpetshi Perricard,1577.9,1550.4,1516.7,0.55,34
David Ferrer,1575.4,1575.2,1479.8,0.45,217
Michael Mmoh,1573.1,1492.5,1500.2,0.6,70
Jeremy Chardy,1572.4,1475.2,1481.5,0.35,284
Ricardas Berankis,1572.3,1467.3,1482.3,0.55,190
Borna Gojo,1572.2,1490.2,1476.4,0.45,42
Benjamin Bonzi,1570.7,1460.9,1502.0,0.4,106
Dominik Koepfer,1567.5,1520.9,1467.3,0.4,133
Laslo Djere,1566.7,1537.3,1458.7,0.4,292
Yibing Wu,1564.9,1482.6,1476.5,0.4,48
Mikael Ymer,1561.2,1490.4,1504.5,0.4,152
Rinky Hijikata,1558.5,1452.5,1490.3,0.45,64
Andy Murray,1557.9,1480.7,1528.7,0.35,376
Christopher Oconnell,1556.3,1450.6,1497.4,0.4,117
Yannick Hanfmann,1556.3,1564.5,1489.2,0.55,153
Tomas Martin Etcheverry,1556.1,1629.8,1445.1,0.5,137
Alexander Bublik,1553.2,1495.6,1614.1,0.35,302
Blaise Bicknell,1553.0,1485.5,1500.0,0.667,9
Arthur Cazaux,1553.0,1459.9,1489.3,0.4,29
Marcelo Arevalo,1552.4,1508.2,1500.0,0.75,30
Nam Hoang Ly,1552.3,1496.3,1500.0,0.7,10
Altug Celikbilek,1551.7,1492.5,1495.4,0.6,22
Darian King,1551.5,1501.3,1500.0,0.6,40
Botic Van De Zandschulp,1551.0,1536.4,1491.1,0.45,186
Mackenzie Mcdonald,1550.8,1405.4,1512.8,0.3,229
Dominic Stricker,1549.1,1481.3,1492.0,0.35,49
Learner Tien,1548.7,1500.0,1500.0,0.5,12
Radek Stepanek,1545.8,1514.4,1484.9,0.5,43
Stan Wawrinka,1545.8,1504.8,1506.3,0.4,391
Julien Benneteau,1545.2,1451.3,1502.0,0.45,73
Ilya Ivashka,1545.1,1474.1,1500.0,0.35,178
